node	split
MD-02_Base	5
MD-02_End	5
MD-03_Base	4
MD-03_End	4
MD-04_Base	3
MD-04_End	3
MD-05_Base	-1
MD-06_Base	5
MD-06_End	5
MD-09_Base	2
MD-09_End	2
MD-10_Base	5
MD-10_End	5
MD-12_Base	-1
MD-14_Base	3
MD-14_End	3
MD-15_Base	4
MD-15_End	4
MD-17_Base	4
MD-17_End	4
MD-20_Base	4
MD-20_End	4
MD-24_Base	2
MD-24_End	2
MD-25_Base	5
MD-25_End	5
MD-28_Base	5
MD-28_End	5
MD-29_Base	4
MD-29_End	4
MD-30_Base	2
MD-30_End	2
MD-31_Base	2
MD-31_End	2
MD-32_Base	3
MD-32_End	3
MD-34_Base	3
MD-34_End	3
MD-35_Base	5
MD-35_End	5
MD-37_Base	-1
MD-38_Base	4
MD-38_End	4
MD-39_Base	5
MD-39_End	5
MD-41_Base	2
MD-41_End	2
MD-43_Base	5
MD-43_End	5
MD-44_Base	2
MD-44_End	2
MD-45_Base	3
MD-45_End	3
MD-46_Base	3
MD-46_End	3
MD-48_Base	3
MD-48_End	3
MD-49_End	2
MD-51_Base	3
MD-51_End	3
MD-52_Base	2
MD-52_End	2
MD-53_Base	3
MD-53_End	3
MD-54_Base	3
MD-54_End	3
MD-55_End	5
MD-57_Base	4
MD-57_End	4
MD-63_Base	-1
MD-64_Base	5
MD-64_End	5
MD-65_Base	2
MD-65_End	2
MD-66_Base	-1
MD-68_Base	-1
MD-69_Base	3
MD-69_End	3
MD-70_Base	4
MD-70_End	4
MD-71_Base	-1
MD-72_Base	2
MD-72_End	2
MD-73_Base	2
MD-73_End	2
MD-74_Base	4
MD-74_End	4
MD-75_Base	-1
MD-76_Base	-1
MD-08_Base	1
MD-08_End	1
MD-18_Base	1
MD-18_End	1
MD-19_Base	1
MD-19_End	1
MD-21_End	1
MD-40_Base	1
MD-40_End	1
MD-42_Base	1
MD-42_End	1
MD-47_Base	1
MD-47_End	1
MD-58_Base	1
MD-58_End	1
MD-60_Base	1
MD-60_End	1
MD-61_Base	1
MD-61_End	1
MD-62_End	1
