node	label
MD-02_Base	0
MD-02_End	1
MD-03_Base	0
MD-03_End	1
MD-04_Base	0
MD-04_End	1
MD-05_Base	0
MD-06_Base	0
MD-06_End	1
MD-09_Base	0
MD-09_End	1
MD-10_Base	0
MD-10_End	1
MD-12_Base	0
MD-14_Base	0
MD-14_End	1
MD-15_Base	0
MD-15_End	1
MD-17_Base	0
MD-17_End	1
MD-20_Base	0
MD-20_End	1
MD-24_Base	0
MD-24_End	1
MD-25_Base	0
MD-25_End	1
MD-28_Base	0
MD-28_End	1
MD-29_Base	0
MD-29_End	1
MD-30_Base	0
MD-30_End	1
MD-31_Base	0
MD-31_End	1
MD-32_Base	0
MD-32_End	1
MD-34_Base	0
MD-34_End	1
MD-35_Base	0
MD-35_End	1
MD-37_Base	0
MD-38_Base	0
MD-38_End	1
MD-39_Base	0
MD-39_End	1
MD-41_Base	0
MD-41_End	1
MD-43_Base	0
MD-43_End	1
MD-44_Base	0
MD-44_End	1
MD-45_Base	0
MD-45_End	1
MD-46_Base	0
MD-46_End	1
MD-48_Base	0
MD-48_End	1
MD-49_End	1
MD-51_Base	0
MD-51_End	1
MD-52_Base	0
MD-52_End	1
MD-53_Base	0
MD-53_End	1
MD-54_Base	0
MD-54_End	1
MD-55_End	1
MD-57_Base	0
MD-57_End	1
MD-63_Base	0
MD-64_Base	0
MD-64_End	1
MD-65_Base	0
MD-65_End	1
MD-66_Base	0
MD-68_Base	0
MD-69_Base	0
MD-69_End	1
MD-70_Base	0
MD-70_End	1
MD-71_Base	0
MD-72_Base	0
MD-72_End	1
MD-73_Base	0
MD-73_End	1
MD-74_Base	0
MD-74_End	1
MD-75_Base	0
MD-76_Base	0
MD-08_Base	0
MD-08_End	1
MD-18_Base	0
MD-18_End	1
MD-19_Base	0
MD-19_End	1
MD-21_End	1
MD-40_Base	0
MD-40_End	1
MD-42_Base	0
MD-42_End	1
MD-47_Base	0
MD-47_End	1
MD-58_Base	0
MD-58_End	1
MD-60_Base	0
MD-60_End	1
MD-61_Base	0
MD-61_End	1
MD-62_End	1
