Supplementary Table 3. Differential abundance analysis results across meat and dairy groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Mann Whitney U test raw p-value	FDR 
K19424	glycosyltransferase EpsF [EC:2.4.-.-]	Brite Hierarchies; Protein families: metabolism; Glycosyltransferases	3.982910994	Meat	0.000195251	0.751940949
COG0449	"Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains"	"Cell envelope biogenesis, outer membrane"	0.23734269	Meat	0.000265395	0.751940949
COG0081	Ribosomal protein L1	"Translation, ribosomal structure and biogenesis"	0.190902876	Meat	0.000303714	0.751940949
ENOG410XRTR	Major Facilitator superfamily	Carbohydrate transport and metabolism	2.597222335	Meat	0.00041062	0.751940949
K18214	"MFS transporter, DHA3 family, tetracycline resistance protein"	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	2.640140624	Meat	0.000438572	0.751940949
K21350	sucrose 6(F)-phosphate phosphorylase [EC:2.4.1.329]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	3.066771273	Meat	0.000448221	0.751940949
k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales.f_Bacillaceae.g_Unclassified.Bacillaceae.s_Unclassified.Bacillaceae	NA	NA	2.136288971	Meat	0.000510235	0.751940949
COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	Carbohydrate transport and metabolism	0.253496044	Meat	0.000514965	0.751940949
K02907	large subunit ribosomal protein L30	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	0.287734572	Meat	0.000514965	0.751940949
PF05866	[Endodeoxyribonuclease RusA]		1.434399457	Meat	0.000624772	0.751940949
ENOG4111NMM		Function unknown	2.74237844	Meat	0.00070746	0.751940949
PF14280	[Domain of unknown function (DUF4365)]		3.429036458	Meat	0.000714952	0.751940949
PF13643	[Domain of unknown function (DUF4145)]		1.771822442	Meat	0.000968916	0.751940949
ENOG4110DZH	glycosyl transferase group 1	Cell wall/membrane/envelope biogenesis	3.127296251	Meat	0.001153974	0.751940949
COG1749	Flagellar hook protein FlgE	Cell motility and secretion	1.94337159	Meat	0.001167121	0.751940949
PF04198	[Putative sugar-binding domain]		0.639102933	Meat	0.00131937	0.751940949
COG0102	Ribosomal protein L13	"Translation, ribosomal structure and biogenesis"	0.205463636	Meat	0.001401582	0.751940949
ENOG410ZX96		Function unknown	3.150733264	Meat	0.001557708	0.751940949
COG0282	Acetate kinase	Energy production and conversion	0.179587653	Meat	0.00158035	0.751940949
ENOG410ZM02	Type II D modification methyltransferase	Function unknown	2.51376989	Meat	0.001581587	0.751940949
ENOG410XS7F		Function unknown	2.155603051	Meat	0.001659528	0.751940949
PF05065	[Phage capsid family ]		0.899906645	Meat	0.001677398	0.751940949
PF19866	[]		2.985510393	Meat	0.001773181	0.751940949
K01250	pyrimidine-specific ribonucleoside hydrolase [EC:3.2.-.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	1.705197521	Meat	0.001832915	0.751940949
COG0498	Threonine synthase	Amino acid transport and metabolism	0.165853175	Meat	0.001888135	0.751940949
PF02976	[DNA mismatch repair enzyme MutH]		1.731128125	Meat	0.002002385	0.751940949
PF05368	[NmrA-like family]		1.53056288	Meat	0.002114627	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiaceae.g_Clostridium.s_Clostridium.saudiense	NA	NA	3.120547065	Meat	0.002118874	0.751940949
PF00584	[SecE/Sec61-gamma subunits of protein translocation complex]		0.385616124	Meat	0.002384267	0.751940949
K10673	"streptomycin 3""-kinase [EC:2.7.1.87]"	Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	2.029021792	Meat	0.002813347	0.751940949
ENOG4111XYH	LysR family (Transcriptional regulator	Transcription	1.080627191	Meat	0.003386796	0.751940949
PF00327	[Ribosomal protein L30p/L7e]		0.29645463	Meat	0.00354777	0.751940949
COG4336	Uncharacterized conserved protein	Function unknown	1.045016604	Meat	0.00354777	0.751940949
K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Human Diseases; Neurodegenerative diseases; Alzheimer disease | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	0.17477334	Meat	0.003750803	0.751940949
COG0691	tmRNA-binding protein	"Posttranslational modification, protein turnover, chaperones"	0.20300706	Meat	0.003750803	0.751940949
COG2390	"Transcriptional regulator, contains sigma factor-related N-terminal domain"	Transcription	0.544119073	Meat	0.003750803	0.751940949
PF03845	[Spore germination protein]		1.01789006	Meat	0.003750803	0.751940949
ENOG4111FXN	phage major capsid protein (HK97 family)	Function unknown	1.450651019	Meat	0.003808613	0.751940949
COG0185	Ribosomal protein S19	"Translation, ribosomal structure and biogenesis"	0.306422943	Meat	0.003964342	0.751940949
PF00188	[Cysteine-rich secretory protein family]		1.210001387	Meat	0.003964342	0.751940949
PF17289	[Terminase RNaseH-like domain]		2.155226586	Meat	0.004089473	0.751940949
COG3103	SH3 domain protein	Signal transduction mechanisms	1.277407923	Meat	0.004188864	0.751940949
K17195	D-allulose-6-phosphate 3-epimerase [EC:5.1.3.-]	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism	1.393270584	Meat	0.004188864	0.751940949
ENOG4112616	Methyl-accepting chemotaxis	Function unknown	1.813915293	Meat	0.004273215	0.751940949
ENOG410ZBPX		Transcription	2.771961643	Meat	0.004485285	0.751940949
K07454	putative restriction endonuclease	Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair	2.334787576	Meat	0.004669834	0.751940949
ENOG410ZIQ4	Protein of unknown function (DUF935)	Function unknown	2.898701872	Meat	0.00475896	0.751940949
