,0
COG0001,0.0
COG0002,0.0
COG0003,0.13761467889908258
COG0004,0.027522935779816515
COG0005,0.0
COG0006,0.0
COG0007,0.0
COG0008,0.0
COG0009,0.0
COG0010,0.0
COG0011,0.0
COG0012,0.0
COG0013,0.0
COG0014,0.0
COG0015,0.0
COG0016,0.0
COG0017,0.0
COG0018,0.0
COG0019,0.0
COG0020,0.0
COG0021,0.0
COG0022,0.0
COG0024,0.0
COG0025,0.0
COG0026,0.0
COG0027,0.0
COG0028,0.0
COG0029,0.0
COG0030,0.0
COG0031,0.0
COG0033,0.0
COG0034,0.0
COG0035,0.0
COG0036,0.0
COG0037,0.0
COG0038,0.0
COG0039,0.0
COG0040,0.0
COG0041,0.0
COG0042,0.0
COG0043,0.009174311926605505
COG0044,0.0
COG0045,0.0
COG0046,0.0
COG0047,0.0
COG0048,0.0
COG0049,0.0
COG0050,0.0
COG0051,0.0
COG0052,0.0
COG0053,0.0
COG0054,0.0
COG0055,0.0
COG0056,0.0
COG0057,0.0
COG0058,0.0
COG0059,0.0
COG0060,0.0
COG0061,0.0
COG0062,0.0
COG0063,0.0
COG0064,0.0
COG0065,0.0
COG0066,0.0
COG0067,0.0
COG0068,0.0
COG0069,0.0
COG0070,0.0
COG0071,0.0
COG0072,0.0
COG0073,0.0
COG0074,0.0
COG0075,0.0
COG0076,0.0
COG0077,0.0
COG0078,0.0
COG0079,0.0
COG0080,0.0
COG0081,0.0
COG0082,0.0
COG0083,0.0
COG0084,0.0
COG0085,0.0
COG0086,0.0
COG0087,0.0
COG0088,0.0
COG0089,0.0
COG0090,0.0
COG0091,0.0
COG0092,0.0
COG0093,0.0
COG0094,0.0
COG0095,0.0
COG0096,0.0
COG0097,0.0
COG0098,0.0
COG0099,0.0
COG0100,0.0
COG0101,0.0
COG0102,0.0
COG0103,0.0
COG0104,0.0
COG0105,0.0
COG0106,0.0
COG0107,0.0
COG0108,0.0
COG0109,0.06422018348623854
COG0110,0.0
COG0111,0.0
COG0112,0.0
COG0113,0.0
COG0114,0.0
COG0115,0.0
COG0116,0.0
COG0117,0.0
COG0118,0.0
COG0119,0.0
COG0120,0.0
COG0121,0.03669724770642202
COG0122,0.0
COG0123,0.06422018348623854
COG0124,0.0
COG0125,0.0
COG0126,0.0
COG0127,0.0
COG0128,0.0
COG0129,0.0
COG0130,0.0
COG0131,0.0
COG0132,0.0
COG0133,0.0
COG0134,0.0
COG0135,0.0
COG0136,0.0
COG0137,0.0
COG0138,0.0
