	score	direction	p_value	q_value	n_permutations	at_permutation_floor
COG0001	0.0	meat	1.0	1.0	100000	False
COG0002	0.1428571428571428	meat	0.3292567074329257	1.0	100000	False
COG0003	0.0	meat	1.0	1.0	100000	False
COG0004	0.1428571428571428	dairy	0.2797772022279777	1.0	100000	False
COG0005	0.0	dairy	1.0	1.0	100000	False
COG0006	0.0	dairy	1.0	1.0	100000	False
COG0007	0.0	meat	1.0	1.0	100000	False
COG0008	0.0	meat	1.0	1.0	100000	False
COG0009	0.1428571428571428	dairy	0.23726762732372678	1.0	100000	False
COG0010	0.0	meat	1.0	1.0	100000	False
COG0011	0.0	meat	1.0	1.0	100000	False
COG0012	0.0	dairy	1.0	1.0	100000	False
COG0013	0.0	meat	1.0	1.0	100000	False
COG0014	0.0	meat	1.0	1.0	100000	False
COG0015	0.1428571428571428	meat	0.3369866301336987	1.0	100000	False
COG0016	0.0	meat	1.0	1.0	100000	False
COG0017	0.0	dairy	1.0	1.0	100000	False
COG0018	0.0	meat	1.0	1.0	100000	False
COG0019	0.0	dairy	1.0	1.0	100000	False
COG0020	0.0	meat	1.0	1.0	100000	False
COG0021	0.0	meat	1.0	1.0	100000	False
COG0022	0.0	dairy	1.0	1.0	100000	False
COG0024	0.0	meat	1.0	1.0	100000	False
COG0025	0.2857142857142857	meat	0.04279957200427996	1.0	100000	False
COG0026	0.0	meat	1.0	1.0	100000	False
COG0027	0.1428571428571428	meat	0.3028169718302817	1.0	100000	False
COG0028	0.0	meat	1.0	1.0	100000	False
COG0029	0.0	meat	1.0	1.0	100000	False
COG0030	0.1428571428571428	meat	0.27314726852731475	1.0	100000	False
COG0031	0.0	meat	1.0	1.0	100000	False
COG0033	0.0	meat	1.0	1.0	100000	False
COG0034	0.1428571428571428	dairy	0.2090479095209048	1.0	100000	False
COG0035	0.0	meat	1.0	1.0	100000	False
COG0036	0.0	dairy	1.0	1.0	100000	False
COG0037	0.0	dairy	1.0	1.0	100000	False
COG0038	0.0	meat	1.0	1.0	100000	False
COG0039	0.0	meat	1.0	1.0	100000	False
COG0040	0.1428571428571428	meat	0.34769652303476967	1.0	100000	False
COG0041	0.1428571428571428	meat	0.25532744672553276	1.0	100000	False
COG0042	0.0	meat	1.0	1.0	100000	False
COG0043	0.0	meat	1.0	1.0	100000	False
COG0044	0.1428571428571428	meat	0.17802821971780283	1.0	100000	False
COG0045	0.0	meat	1.0	1.0	100000	False
COG0046	0.0	meat	1.0	1.0	100000	False
COG0047	0.0	meat	1.0	1.0	100000	False
COG0048	0.0	meat	1.0	1.0	100000	False
COG0049	0.0	meat	1.0	1.0	100000	False
COG0050	0.1428571428571428	meat	0.18321816781832181	1.0	100000	False
COG0051	0.1428571428571428	meat	0.24880751192488076	1.0	100000	False
COG0052	0.1428571428571428	meat	0.25298747012529876	1.0	100000	False
COG0053	0.0	dairy	1.0	1.0	100000	False
COG0054	0.1428571428571428	dairy	0.24271757282427175	1.0	100000	False
COG0055	0.0	meat	1.0	1.0	100000	False
