	score	direction	p_value	q_value	n_permutations	at_permutation_floor
COG0001	1.1584856111615889	meat	0.8170018299817002	0.9757029927360217	100000	False
COG0002	2.116465077916852	meat	0.26580734192658073	0.9726934875302176	100000	False
COG0003	1.3087239089964122	meat	0.6875931240687593	0.9731738618822704	100000	False
COG0004	2.024809495275096	dairy	0.26730732692673076	0.9726934875302176	100000	False
COG0005	1.4465559035651328	dairy	0.6166738332616674	0.9726934875302176	100000	False
COG0006	0.9397203347028532	dairy	0.9422005779942201	0.9834846454820169	100000	False
COG0007	1.3370995725735049	meat	0.7219227807721923	0.9752000245272132	100000	False
COG0008	1.523415440388225	meat	0.6506334936650634	0.9726934875302176	100000	False
COG0009	2.1777160984666524	dairy	0.16204837951620485	0.9726934875302176	100000	False
COG0010	1.3945948475767302	meat	0.6419035809641903	0.9726934875302176	100000	False
COG0011	1.6514669097932588	meat	0.5283847161528384	0.9726934875302176	100000	False
COG0012	1.6198595302616876	dairy	0.46004539954600454	0.9726934875302176	100000	False
COG0013	1.2421831125044085	meat	0.8273617263827362	0.9757029927360217	100000	False
COG0014	1.430718148886846	meat	0.7128028719712803	0.9739354559079251	100000	False
COG0015	2.159383343717596	meat	0.2518974810251898	0.9726934875302176	100000	False
COG0016	1.933349561228716	meat	0.3160868391316087	0.9726934875302176	100000	False
COG0017	1.4901134335629558	dairy	0.6337736622633774	0.9726934875302176	100000	False
COG0018	1.398316532662354	meat	0.7302126978730212	0.9757029927360217	100000	False
COG0019	1.581033551504504	dairy	0.5346646533534665	0.9726934875302176	100000	False
COG0020	1.6564449873280718	meat	0.45525544744552554	0.9726934875302176	100000	False
COG0021	1.4809806731842223	meat	0.5757942420575795	0.9726934875302176	100000	False
COG0022	1.7483818107641136	dairy	0.3298267017329827	0.9726934875302176	100000	False
COG0024	1.4873626216408349	meat	0.6301736982630174	0.9726934875302176	100000	False
COG0025	2.1964438027041986	meat	0.23765762342376576	0.9726934875302176	100000	False
COG0026	1.7292155747535989	meat	0.4929550704492955	0.9726934875302176	100000	False
COG0027	2.1766656313135586	meat	0.21159788402115978	0.9726934875302176	100000	False
COG0028	1.8412261194265025	meat	0.2775572244277557	0.9726934875302176	100000	False
COG0029	1.1459640232174526	meat	0.8231317686823132	0.9757029927360217	100000	False
COG0030	2.058544210274856	meat	0.24207757922420775	0.9726934875302176	100000	False
COG0031	1.2905791403243283	meat	0.6945330546694533	0.9732866126733178	100000	False
COG0033	1.7430481040962318	meat	0.46788532114678855	0.9726934875302176	100000	False
COG0034	2.778074842013124	dairy	0.03735962640373596	0.8131381521433828	100000	False
COG0035	1.730518954505702	meat	0.5361146388536114	0.9726934875302176	100000	False
COG0036	1.628111245728356	dairy	0.5351946480535195	0.9726934875302176	100000	False
COG0037	1.1922971690889008	dairy	0.8616213837861622	0.975915348142656	100000	False
COG0038	1.85319898887872	meat	0.37031629683703166	0.9726934875302176	100000	False
COG0039	1.657211970315411	meat	0.4888351116488835	0.9726934875302176	100000	False
COG0040	2.0372349637178115	meat	0.32481675183248165	0.9726934875302176	100000	False
COG0041	2.0044743504424782	meat	0.25298747012529876	0.9726934875302176	100000	False
COG0042	1.3519302196115006	meat	0.7088429115708843	0.9736910960863782	100000	False
COG0043	1.4223622208609754	meat	0.6102538974610254	0.9726934875302176	100000	False
COG0044	2.0716979299131264	meat	0.15082849171508286	0.9726934875302176	100000	False
COG0045	1.8346423525537063	meat	0.37602623973760263	0.9726934875302176	100000	False
COG0046	1.1181271161339212	meat	0.8810511894881051	0.975915348142656	100000	False
COG0047	1.8024502879538389	meat	0.37024629753702465	0.9726934875302176	100000	False
COG0048	1.777703073513732	meat	0.3263467365326347	0.9726934875302176	100000	False
COG0049	1.0170056448066345	meat	0.9448405515944841	0.9840611896540771	100000	False
COG0050	3.3365041883226385	meat	0.012229877701222988	0.800657308863153	100000	False
COG0051	2.0806050861708942	meat	0.2114178858211418	0.9726934875302176	100000	False
COG0052	2.1569746644265977	meat	0.1834881651183488	0.9726934875302176	100000	False
COG0053	1.1474514705942809	dairy	0.8633113668863311	0.975915348142656	100000	False
