	score	direction	p_value	q_value	n_permutations	at_permutation_floor
COG0001	0.1848762599395107	meat	0.6286437135628644	0.8477847903018872	100000	False
COG0002	0.6691001497474282	meat	0.1956780432195678	0.5556811692796101	100000	False
COG0003	0.0616946682923584	meat	0.8836911630883691	0.9565854478075922	100000	False
COG0004	0.536797293706835	dairy	0.24220757792422076	0.6008624635571296	100000	False
COG0005	0.1917218181541748	dairy	0.6612433875661243	0.8633500039434427	100000	False
COG0006	0.3831564938799223	dairy	0.27897721022789773	0.6287588619218333	100000	False
COG0007	0.593246721791866	meat	0.1092689073109269	0.46198864748923624	100000	False
COG0008	0.6865630549736911	meat	0.14439855601443985	0.5032823009195732	100000	False
COG0009	0.1765906718924894	dairy	0.6925330746692533	0.8773459175040084	100000	False
COG0010	0.1275940305876612	meat	0.7735822641773582	0.9131272838345768	100000	False
COG0011	0.8776407384730714	meat	0.04706952930470695	0.36212072838621207	100000	False
COG0012	0.3410518577910224	dairy	0.4193458065419346	0.7321306176094743	100000	False
COG0013	0.6410469196478376	meat	0.14254857451425484	0.502177842751045	100000	False
COG0014	0.7474402493720997	meat	0.11246887531124689	0.46596985039145483	100000	False
COG0015	0.8783116253834093	meat	0.061479385206147937	0.3930849730541734	100000	False
COG0016	0.5252439874539971	meat	0.28978710212897874	0.6371865712090267	100000	False
COG0017	0.290933639001031	dairy	0.5281647183528164	0.7934333391475151	100000	False
COG0018	0.4605727345471842	meat	0.3037769622303777	0.6486439761401558	100000	False
COG0019	0.098849631800705	dairy	0.8172718272817272	0.9321876803992705	100000	False
COG0020	0.6924480946502108	meat	0.1082189178108219	0.4609158578743883	100000	False
COG0021	0.2465628884545832	meat	0.5803841961580384	0.8242878356674617	100000	False
COG0022	0.2553130046645647	dairy	0.4910150898491015	0.772073207654782	100000	False
COG0024	0.7501702766574578	meat	0.07530924690753092	0.4183765174742251	100000	False
COG0025	1.023572481705968	meat	0.03601963980360196	0.3382260030308588	100000	False
COG0026	0.5648182207681792	meat	0.26355736442635574	0.6169222092305667	100000	False
COG0027	0.4683563403747773	meat	0.32301676983230165	0.6632045130850523	100000	False
COG0028	0.6720186164203482	meat	0.09400905990940091	0.4412305036960647	100000	False
COG0029	0.0225337056751981	meat	0.9569704302956971	0.9851996151055347	100000	False
COG0030	0.8718293184067447	meat	0.06931930680693194	0.4043476055147078	100000	False
COG0031	0.162384886755997	meat	0.6736732632673673	0.8685028634463524	100000	False
COG0033	0.9473085812265636	meat	0.04167958320416796	0.35086290590925134	100000	False
COG0034	0.4679243827957529	dairy	0.23082769172308276	0.5893328431823596	100000	False
COG0035	0.9837894100973508	meat	0.05015949840501595	0.368738341101699	100000	False
COG0036	0.1325088014245888	dairy	0.7802621973780263	0.9166923719092234	100000	False
COG0037	0.1055459679009808	dairy	0.7849521504784952	0.9185114578750483	100000	False
COG0038	0.7060634574232082	meat	0.10769892301076989	0.4605188293325296	100000	False
COG0039	0.5438707602456192	meat	0.2152878471215288	0.5759813978493381	100000	False
COG0040	0.615015556759389	meat	0.2047879521204788	0.5643347659712208	100000	False
COG0041	1.2786779580257843	meat	0.003929960700392996	0.26742756325405864	100000	False
COG0042	0.4408463681861481	meat	0.26829731702682974	0.6208830661184224	100000	False
COG0043	0.5970173576961363	meat	0.14016859831401687	0.49937078750944347	100000	False
COG0044	0.7497714012401235	meat	0.050659493405065946	0.37049512716551664	100000	False
COG0045	0.5221754753063442	meat	0.26525734742652574	0.617608821178801	100000	False
COG0046	0.1176328256381613	meat	0.7896821031789683	0.9203322109782667	100000	False
COG0047	0.7133795202395099	meat	0.1073289267107329	0.4603919026202092	100000	False
COG0048	0.4333910165713315	meat	0.3022069779302207	0.6477318530790536	100000	False
COG0049	0.3104717685325579	meat	0.4711952880471195	0.7623602726837201	100000	False
COG0050	0.273062192987401	meat	0.4831351686483135	0.7678119972531618	100000	False
COG0051	1.2125858757086048	meat	0.008469915300846991	0.27193793579305586	100000	False
COG0052	0.5205272016260203	meat	0.24698753012469876	0.6044672833938135	100000	False
COG0053	0.2622071707442496	dairy	0.5625343746562534	0.8135208017931707	100000	False
COG0054	0.3348068392317002	dairy	0.4478555214447856	0.7485119781847708	100000	False
COG0055	0.8407946859820663	meat	0.05920940790592094	0.3900452230998926	100000	False
COG0056	0.4826489378183072	dairy	0.24974750252497474	0.6071865844287603	100000	False
COG0057	0.9065939978589844	meat	0.025759742402575975	0.31096080251103936	100000	False
COG0058	0.4185165971975882	dairy	0.35300646993530066	0.6839676035044905	100000	False
COG0059	0.4416512933698026	meat	0.36497635023649766	0.6922764113116108	100000	False
COG0060	0.1489432784411445	dairy	0.7534424655753442	0.9069530400102359	100000	False
COG0061	0.3597541057978305	meat	0.4715952840471595	0.7624195901169311	100000	False
COG0062	0.6078255122448075	dairy	0.0986790132098679	0.44767863290483173	100000	False
COG0063	0.5955801516138244	meat	0.1990680093199068	0.5590643697849914	100000	False
COG0064	0.8318873140559548	meat	0.06938930610693893	0.4043476055147078	100000	False
COG0065	0.2249112979258561	meat	0.6180338196618034	0.8427550268787941	100000	False
COG0066	0.3999867855144099	meat	0.34494655053449463	0.6794027052791451	100000	False
COG0067	0.1539422116922368	meat	0.7000429995700043	0.8807529156409448	100000	False
COG0068	0.7487869615617716	meat	0.07030929690703093	0.4067860917858213	100000	False
COG0069	0.1887368862650638	dairy	0.6274437255627444	0.8473201440981706	100000	False
COG0070	0.0208937183878857	dairy	0.9572504274957251	0.9851996151055347	100000	False
COG0071	0.0628336900121383	meat	0.8758612413875861	0.9534443998565064	100000	False
COG0072	0.6287261987734304	meat	0.13348866511334886	0.49196944205374044	100000	False
COG0073	0.2537172576504741	dairy	0.5458245417545825	0.804871975518472	100000	False
COG0074	0.6383643062886576	meat	0.2009979900200998	0.5610568345675863	100000	False
COG0075	0.0105632188260496	meat	0.9784702152978471	0.9928680553537607	100000	False
COG0076	0.3068813234469668	dairy	0.4352856471435286	0.742243219246968	100000	False
COG0077	0.1298628330037379	meat	0.7648323516764832	0.9109425526960029	100000	False
COG0078	0.4860912812408202	meat	0.2159478405215948	0.5767073640019323	100000	False
COG0079	0.016822631739958	dairy	0.966360336396636	0.988530154936274	100000	False
COG0080	0.8145614606450501	meat	0.04786952130478695	0.36389353449309914	100000	False
COG0081	0.61191803122663	meat	0.16534834651653482	0.5274116828120108	100000	False
COG0082	0.7959343168540113	meat	0.06899931000689993	0.40392975108049606	100000	False
COG0083	0.8790801632726604	meat	0.05749942500574994	0.38747669395343964	100000	False
COG0084	0.3160334084528152	meat	0.4999350006499935	0.7777148655323785	100000	False
COG0085	0.2636056181639624	dairy	0.5114348856511435	0.7831763379750001	100000	False
COG0086	0.7703440396280291	meat	0.08499915000849992	0.42935661983830936	100000	False
COG0087	0.9840321662658844	meat	0.03773962260377396	0.3432867960990252	100000	False
COG0088	1.0089723585350612	meat	0.03808961910380896	0.3445461934122029	100000	False
COG0089	0.7274090229065868	meat	0.12725872741272587	0.4853936928611009	100000	False
COG0090	0.4561797407468795	meat	0.31124688753112467	0.6540984867757738	100000	False
COG0091	0.8874356134505126	meat	0.04853951460485395	0.36437794282259905	100000	False
COG0092	0.8705255406865243	meat	0.04897951020489795	0.36638910729908947	100000	False
COG0093	0.707779250242874	meat	0.14022859771402285	0.4994800721168865	100000	False
COG0094	0.8530623791550357	meat	0.05075949240507595	0.37072311367717514	100000	False
COG0095	0.976417318184762	meat	0.025079749202507974	0.3080144270603404	100000	False
COG0096	0.0077049564539048	dairy	0.987370126298737	0.9956335753045713	100000	False
COG0097	0.9053712882882508	meat	0.05472945270547294	0.3805457987851782	100000	False
COG0098	0.7421878235149352	meat	0.08034919650803492	0.42476345875895677	100000	False
COG0099	0.0331853189164289	meat	0.9389906100938991	0.9781898248776807	100000	False
COG0100	0.3493682240704001	meat	0.4317356826431736	0.7402545244018279	100000	False
COG0101	0.5697451783436901	meat	0.1789982100178998	0.5410854904935691	100000	False
COG0102	0.1750477426825377	meat	0.6519134808651913	0.8585157197755375	100000	False
COG0103	0.7251265600994662	meat	0.11637883621163789	0.47315673074185294	100000	False
COG0104	0.3986275127732325	meat	0.34014659853401463	0.6765884625536028	100000	False
COG0105	0.5959486350288958	dairy	0.15608843911560885	0.517043214407506	100000	False
COG0106	0.7650080895011557	meat	0.14257857421425785	0.5021796638940145	100000	False
COG0107	0.7877496171030297	meat	0.1003089969100309	0.4506893021283451	100000	False
COG0108	0.6360285771597363	dairy	0.16532834671653285	0.5274116828120108	100000	False
COG0109	0.2649761042600442	meat	0.5402645973540264	0.8014018300990899	100000	False
COG0110	0.2398390079738153	dairy	0.5411345886541135	0.8018883154940198	100000	False
COG0111	1.1680164012692618	meat	0.007869921300786993	0.270838855967876	100000	False
COG0112	0.4557540122878357	meat	0.3139968600313997	0.6558651915625715	100000	False
COG0113	0.3766252262989944	dairy	0.3022469775302247	0.6477318530790536	100000	False
COG0114	0.5070228532410407	meat	0.2071979280207198	0.5675788976555391	100000	False
COG0115	0.2109042858225775	dairy	0.6011739882601174	0.8344032384317617	100000	False
COG0116	0.599231736188992	dairy	0.17144828551714483	0.5342624674741179	100000	False
COG0117	0.2361530626315255	meat	0.5758142418575815	0.8208087690652093	100000	False
COG0118	0.5548825598853505	meat	0.24414755852441475	0.6028157733181747	100000	False
COG0119	0.3806944149147587	dairy	0.3704462955370446	0.696139866712542	100000	False
COG0120	1.350624517421101	meat	0.004479955200447996	0.26742756325405864	100000	False
COG0121	0.5029473421113565	meat	0.21453785462145378	0.5751929768304582	100000	False
COG0122	0.0267919732210346	meat	0.950330496695033	0.9831558252896061	100000	False
COG0123	0.1976441262776795	dairy	0.6481735182648174	0.8565042309235559	100000	False
COG0124	0.4391753272551853	meat	0.3137668623313767	0.6558651915625715	100000	False
COG0125	0.5268133223628645	meat	0.3035169648303517	0.6485971699962038	100000	False
COG0126	0.4892500380776862	meat	0.1817081829181708	0.5441342263792551	100000	False
COG0127	0.6125007578978295	meat	0.1905880941190588	0.5517155698008238	100000	False
COG0128	0.4201303780983094	meat	0.4068559314406856	0.7239842332040533	100000	False
COG0129	0.3464535644305056	meat	0.3947660523394766	0.7154875664009317	100000	False
COG0130	0.4742307225458857	meat	0.3137368626313737	0.6558651915625715	100000	False
COG0131	0.8198596320879228	meat	0.0981590184098159	0.4470434653942231	100000	False
COG0132	0.1278067506070459	dairy	0.7688423115768842	0.9115118739534398	100000	False
