	score	direction	p_value	q_value	n_permutations	at_permutation_floor
COG0001	0.6076224510949727	meat	0.6396936030639694	0.9894153099960945	100000	False
COG0002	0.7173762026590067	meat	0.4228357716422836	0.9894153099960945	100000	False
COG0003	0.6135498495980843	meat	0.6686433135668644	0.9894153099960945	100000	False
COG0004	0.5995562391449479	dairy	0.6875931240687593	0.9894153099960945	100000	False
COG0005	0.5315355635294972	dairy	0.9002709972900271	0.9934639381130393	100000	False
COG0006	0.6827278922002712	dairy	0.44103558964410355	0.9894153099960945	100000	False
COG0007	0.6516054081352269	meat	0.5376446235537644	0.9894153099960945	100000	False
COG0008	0.7761781548836927	meat	0.27601723982760173	0.9894153099960945	100000	False
COG0009	0.6188552347742814	dairy	0.6518334816651834	0.9894153099960945	100000	False
COG0010	0.7174807622013679	meat	0.3884261157388426	0.9894153099960945	100000	False
COG0011	0.8098891104436637	meat	0.2149478505214948	0.9894153099960945	100000	False
COG0012	0.840442703280351	dairy	0.0977990220097799	0.9894153099960945	100000	False
COG0013	0.724693773363889	meat	0.38679613203867963	0.9894153099960945	100000	False
COG0014	0.7990308750070275	meat	0.2140778592214078	0.9894153099960945	100000	False
COG0015	0.8513508962562008	meat	0.12265877341226587	0.9894153099960945	100000	False
COG0016	0.6903755890542569	meat	0.45374546254537457	0.9894153099960945	100000	False
COG0017	0.7539599297508193	dairy	0.26347736522634774	0.9894153099960945	100000	False
COG0018	0.7002644094837251	meat	0.44885551144488556	0.9894153099960945	100000	False
COG0019	0.5435453814025735	dairy	0.8621813781862181	0.9922776321206207	100000	False
COG0020	0.8121548850598859	meat	0.17155828441715582	0.9894153099960945	100000	False
COG0021	0.6995172929705412	meat	0.4694653053469465	0.9894153099960945	100000	False
COG0022	0.539399247869179	dairy	0.8762512374876251	0.993291248482864	100000	False
COG0024	0.7701511272167129	meat	0.22442775572244278	0.9894153099960945	100000	False
COG0025	0.8918010997812764	meat	0.10760892391076089	0.9894153099960945	100000	False
COG0026	0.740348638972062	meat	0.3807761922380776	0.9894153099960945	100000	False
COG0027	0.7731771730921545	meat	0.3160468395316047	0.9894153099960945	100000	False
COG0028	0.7889534256270548	meat	0.22803771962280378	0.9894153099960945	100000	False
COG0029	0.5914134980122627	meat	0.7227727722722773	0.9894153099960945	100000	False
COG0030	0.8769611497022021	meat	0.1086689133108669	0.9894153099960945	100000	False
COG0031	0.80827589059257	meat	0.17344826551734482	0.9894153099960945	100000	False
COG0033	0.7323572555318819	meat	0.4123458765412346	0.9894153099960945	100000	False
COG0034	0.5747580733002181	dairy	0.7650623493765062	0.9894153099960945	100000	False
COG0035	0.8405165114175338	meat	0.16120838791612083	0.9894153099960945	100000	False
COG0036	0.5494872583137165	dairy	0.8619513804861951	0.9922776321206207	100000	False
COG0037	0.6217837282864289	dairy	0.5884441155588445	0.9894153099960945	100000	False
COG0038	0.6811349020020122	meat	0.5097649023509765	0.9894153099960945	100000	False
COG0039	0.6834869921674469	meat	0.45309546904530956	0.9894153099960945	100000	False
COG0040	0.7400361802237932	meat	0.35208647913520863	0.9894153099960945	100000	False
COG0041	0.902861646185451	meat	0.04346956530434696	0.9894153099960945	100000	False
COG0042	0.7601219478826182	meat	0.30405695943040567	0.9894153099960945	100000	False
COG0043	0.7722804097791542	meat	0.2920070799292007	0.9894153099960945	100000	False
COG0044	0.8466409295193112	meat	0.11231887681123189	0.9894153099960945	100000	False
