	hit_fraction_z	mean_z	median_z	max_z	mean_prob	median_prob	mean_confidence	median_confidence	hit_fraction_prob	direction
COG0001	0.0	0.1848762599395107	0.3912490026946248	1.1584856111615889	0.6007062348668828	0.6076224510949727	0.6007062348668828	0.6076224510949727	0.7142857142857143	meat
COG0002	0.14285714285714285	0.6691001497474282	0.5131199044573292	2.116465077916852	0.7379507648188158	0.7173762026590067	0.7379507648188158	0.7173762026590067	0.8571428571428571	meat
COG0003	0.0	0.061694668292358444	0.5134342714934853	1.3087239089964122	0.5453950941257902	0.6135498495980843	0.5453950941257902	0.6135498495980843	0.7142857142857143	meat
COG0004	0.14285714285714285	0.536797293706835	0.5114469377282957	2.024809495275096	0.42614852431238787	0.40044376085505207	0.5738514756876121	0.5995562391449479	0.7142857142857143	dairy
COG0005	0.0	0.19172181815417483	0.20314907259773626	1.4465559035651328	0.46633154806105387	0.5315355635294972	0.5336684519389461	0.5315355635294972	0.5714285714285714	dairy
COG0006	0.0	0.3831564938799223	0.674273003461984	0.9397203347028532	0.4372972104672385	0.3172721077997288	0.5627027895327614	0.6827278922002712	0.5714285714285714	dairy
COG0007	0.0	0.593246721791866	0.614996535971803	1.3370995725735049	0.6677286957364356	0.6516054081352269	0.6677286957364356	0.6516054081352269	0.8571428571428571	meat
COG0008	0.0	0.6865630549736911	1.0098114249455579	1.523415440388225	0.695703995624492	0.7761781548836927	0.695703995624492	0.7761781548836927	0.8571428571428571	meat
COG0009	0.14285714285714285	0.17659067189248948	0.23090597889776587	2.1777160984666524	0.5249747628502026	0.3811447652257186	0.5249747628502026	0.6188552347742814	0.5714285714285714	dairy
COG0010	0.0	0.12759403058766125	0.4870855221122121	1.3945948475767302	0.5570455536613895	0.7174807622013679	0.5570455536613895	0.7174807622013679	0.5714285714285714	meat
COG0011	0.0	0.8776407384730714	1.1934512836351532	1.6514669097932588	0.7537153304311885	0.8098891104436637	0.7537153304311885	0.8098891104436637	0.7142857142857143	meat
COG0012	0.0	0.34105185779102243	0.7400566400569561	1.6198595302616876	0.4089892875561842	0.15955729671964908	0.5910107124438158	0.840442703280351	0.5714285714285714	dairy
COG0013	0.0	0.6410469196478376	0.896087561567999	1.2421831125044085	0.704327748556388	0.724693773363889	0.704327748556388	0.724693773363889	0.8571428571428571	meat
COG0014	0.0	0.7474402493720997	0.8588916500382139	1.430718148886846	0.7124557933062432	0.7990308750070275	0.7124557933062432	0.7990308750070275	0.8571428571428571	meat
COG0015	0.14285714285714285	0.8783116253834093	1.1578214369382789	2.1593833437175958	0.8092167061741177	0.8513508962562008	0.8092167061741177	0.8513508962562008	0.8571428571428571	meat
COG0016	0.0	0.5252439874539971	0.12142243936638797	1.933349561228716	0.680915871946399	0.6903755890542569	0.680915871946399	0.6903755890542569	0.8571428571428571	meat
COG0017	0.0	0.29093363900103103	0.4716909594683181	1.4901134335629558	0.4310640335355216	0.2460400702491807	0.5689359664644784	0.7539599297508193	0.5714285714285714	dairy
COG0018	0.0	0.4605727345471842	0.42293248568899505	1.3983165326623541	0.6496413062729781	0.7002644094837251	0.6496413062729781	0.7002644094837251	0.7142857142857143	meat
COG0019	0.0	0.09884963180070509	0.2687604887902049	1.581033551504504	0.5395282343777225	0.45645461859742653	0.5395282343777225	0.5435453814025735	0.7142857142857143	dairy
COG0020	0.0	0.6924480946502108	0.7041174331594497	1.6564449873280718	0.754328976111527	0.8121548850598859	0.754328976111527	0.8121548850598859	0.8571428571428571	meat
COG0021	0.0	0.24656288845458324	0.8415790044743009	1.4809806731842223	0.6316329973635952	0.6995172929705412	0.6316329973635952	0.6995172929705412	0.7142857142857143	meat
COG0022	0.0	0.25531300466456475	0.4166875818679438	1.7483818107641136	0.48913224255580934	0.539399247869179	0.5108677574441907	0.539399247869179	0.5714285714285714	dairy
COG0024	0.0	0.7501702766574578	0.6878703270551502	1.4873626216408349	0.7516395784431905	0.7701511272167129	0.7516395784431905	0.7701511272167129	1.0	meat
COG0025	0.2857142857142857	1.023572481705968	0.9003775872908784	2.1964438027041986	0.8153383654694266	0.8918010997812764	0.8153383654694266	0.8918010997812764	0.8571428571428571	meat
COG0026	0.0	0.5648182207681792	0.6682684927894644	1.7292155747535989	0.6710229836436593	0.740348638972062	0.6710229836436593	0.740348638972062	0.7142857142857143	meat
COG0027	0.14285714285714285	0.46835634037477736	0.8891664420343136	2.1766656313135586	0.6747227524666031	0.7731771730921545	0.6747227524666031	0.7731771730921545	0.7142857142857143	meat
COG0028	0.0	0.6720186164203482	0.4571094384592281	1.8412261194265023	0.722274047852441	0.7889534256270548	0.722274047852441	0.7889534256270548	0.8571428571428571	meat
COG0029	0.0	0.022533705675198138	0.15282364870081547	1.1459640232174526	0.5528112518968127	0.5914134980122627	0.5528112518968127	0.5914134980122627	0.5714285714285714	meat
COG0030	0.14285714285714285	0.8718293184067447	0.861468140815709	2.058544210274856	0.7851199659434462	0.8769611497022021	0.7851199659434462	0.8769611497022021	0.8571428571428571	meat
COG0031	0.0	0.16238488675599708	0.04256745502047217	1.2905791403243283	0.5461589716447399	0.80827589059257	0.5461589716447399	0.80827589059257	0.5714285714285714	meat
COG0033	0.0	0.9473085812265635	0.9780369127639001	1.7430481040962318	0.7798389759324101	0.7323572555318819	0.7798389759324101	0.7323572555318819	1.0	meat
COG0034	0.14285714285714285	0.4679243827957529	0.2346001593346033	2.778074842013124	0.40690435550252285	0.4252419266997819	0.5930956444974771	0.5747580733002181	0.5714285714285714	dairy
COG0035	0.0	0.9837894100973509	1.4695926086607245	1.730518954505702	0.8154717441240745	0.8405165114175338	0.8154717441240745	0.8405165114175338	1.0	meat
COG0036	0.0	0.1325088014245888	0.07615481190476676	1.628111245728356	0.5344435705788407	0.4505127416862835	0.5344435705788407	0.5494872583137165	0.5714285714285714	dairy
COG0037	0.0	0.1055459679009808	0.06612864661406292	1.1922971690889008	0.4970361110550014	0.37821627171357114	0.5029638889449985	0.6217837282864289	0.5714285714285714	dairy
