	score	direction	p_value	q_value	n_permutations	at_permutation_floor
COG0001	1.0	endpoint	0.023189768102318976	0.36741145839996026	100000	False
COG0002	0.7142857142857143	endpoint	0.5377646223537764	0.8352718269115293	100000	False
COG0003	0.8571428571428571	baseline	0.14754852451475486	0.5910003314415525	100000	False
COG0004	0.8571428571428571	endpoint	0.15578844211557885	0.5910003314415525	100000	False
COG0005	0.5714285714285714	endpoint	1.0	1.0	100000	False
COG0006	0.7142857142857143	baseline	0.4843751562484375	0.8269237816645434	100000	False
COG0007	0.7142857142857143	baseline	0.47274527254727455	0.8269237816645434	100000	False
COG0008	0.8571428571428571	endpoint	0.14640853591464084	0.5910003314415525	100000	False
COG0009	1.0	baseline	0.024899751002489975	0.36741145839996026	100000	False
COG0010	0.7142857142857143	baseline	0.47974520254797454	0.8269237816645434	100000	False
COG0011	0.8571428571428571	baseline	0.13423865761342388	0.5910003314415525	100000	False
COG0012	0.8571428571428571	endpoint	0.14818851811481884	0.5910003314415525	100000	False
COG0013	0.5714285714285714	baseline	1.0	1.0	100000	False
COG0014	0.7142857142857143	baseline	0.4998950010499895	0.8269237816645434	100000	False
COG0015	0.5714285714285714	endpoint	1.0	1.0	100000	False
COG0016	0.7142857142857143	endpoint	0.5304046959530405	0.8289185417165006	100000	False
COG0017	0.7142857142857143	endpoint	0.4937750622493775	0.8269237816645434	100000	False
COG0018	0.7142857142857143	endpoint	0.5018049819501805	0.8269237816645434	100000	False
COG0019	0.7142857142857143	endpoint	0.46232537674623253	0.8269237816645434	100000	False
COG0020	0.5714285714285714	baseline	1.0	1.0	100000	False
COG0021	0.8571428571428571	baseline	0.16334836651633483	0.5910003314415525	100000	False
COG0022	0.8571428571428571	baseline	0.15185848141518585	0.5910003314415525	100000	False
COG0024	0.8571428571428571	endpoint	0.14840851591484086	0.5910003314415525	100000	False
COG0025	0.7142857142857143	baseline	0.4650953490465095	0.8269237816645434	100000	False
COG0026	0.5714285714285714	baseline	1.0	1.0	100000	False
COG0027	0.7142857142857143	baseline	0.4776152238477615	0.8269237816645434	100000	False
COG0028	0.7142857142857143	baseline	0.4866351336486635	0.8269237816645434	100000	False
COG0029	1.0	baseline	0.03199968000319997	0.36741145839996026	100000	False
COG0030	0.5714285714285714	baseline	1.0	1.0	100000	False
COG0031	0.8571428571428571	endpoint	0.15319846801531983	0.5910003314415525	100000	False
COG0033	0.5714285714285714	baseline	1.0	1.0	100000	False
COG0034	0.5714285714285714	baseline	1.0	1.0	100000	False
COG0035	0.5714285714285714	endpoint	1.0	1.0	100000	False
COG0036	0.5714285714285714	baseline	1.0	1.0	100000	False
COG0037	0.8571428571428571	endpoint	0.13585864141358586	0.5910003314415525	100000	False
COG0038	0.5714285714285714	baseline	1.0	1.0	100000	False
