	score	direction	p_value	q_value	n_permutations	at_permutation_floor
COG0001	0.7407873570307615	endpoint	0.08224917750822491	0.4888172506969975	100000	False
COG0002	0.5812822810855083	endpoint	0.6190038099619004	0.872298439490787	100000	False
COG0003	0.6600418340664901	baseline	0.2651073489265107	0.6751536758392129	100000	False
COG0004	0.6801080803150403	endpoint	0.21990780092199078	0.6398513107455192	100000	False
COG0005	0.5145682183266348	endpoint	0.9193408065919341	0.9773791677142345	100000	False
COG0006	0.5882125587982165	baseline	0.5604743952560475	0.8445595391887555	100000	False
COG0007	0.584162275070052	baseline	0.5594144058559415	0.8444262296122166	100000	False
COG0008	0.7002974194157093	endpoint	0.16285837141628584	0.5854720642325024	100000	False
COG0009	0.6649580315827792	baseline	0.27549724502754974	0.6854432624239344	100000	False
COG0010	0.5791150568956542	baseline	0.5811441885581144	0.8560900821848826	100000	False
COG0011	0.6440665072558232	baseline	0.3116568834311657	0.710841318628313	100000	False
COG0012	0.7668626119631506	endpoint	0.05771942280577194	0.4464458393843228	100000	False
COG0013	0.5171368339689792	baseline	0.9124608753912461	0.9749115673670158	100000	False
COG0014	0.6246353707403499	baseline	0.4058159418405816	0.7679531858313943	100000	False
COG0015	0.5521116682230857	endpoint	0.7295427045729542	0.9189773579246399	100000	False
COG0016	0.5794092785203523	endpoint	0.6287637123628764	0.8768221456294806	100000	False
COG0017	0.6799081432956863	endpoint	0.23030769692303077	0.6462604422358805	100000	False
COG0018	0.5519439389678046	endpoint	0.7382326176738233	0.9204535668573481	100000	False
COG0019	0.7266274584981776	endpoint	0.0973590264097359	0.5083226948913471	100000	False
COG0020	0.5553008510720687	baseline	0.7175328246717533	0.9135003628292816	100000	False
COG0021	0.7950909337613459	baseline	0.035769642303576966	0.402952590844462	100000	False
COG0022	0.7147005823680694	baseline	0.12803871961280386	0.5433192603798924	100000	False
COG0024	0.7536450049799869	endpoint	0.07724922750772492	0.4807043040680704	100000	False
COG0025	0.6226828388771756	baseline	0.3909560904390956	0.758878072757734	100000	False
COG0026	0.5644280445532386	baseline	0.6854831451685484	0.9004099109224825	100000	False
COG0027	0.5683800430340807	baseline	0.6409635903640963	0.882510131329048	100000	False
COG0028	0.590409948173131	baseline	0.5381946180538194	0.8347448175227549	100000	False
COG0029	0.7834292422468274	baseline	0.05235947640523595	0.4355679479092697	100000	False
COG0030	0.5340789158148411	baseline	0.8271417285827142	0.9500495611828512	100000	False
COG0031	0.7124545525700192	endpoint	0.13512864871351288	0.5547472339207676	100000	False
COG0033	0.538441114402376	baseline	0.8030419695803042	0.9432600419185795	100000	False
COG0034	0.589246508471126	baseline	0.5249947500524995	0.82821149494333	100000	False
COG0035	0.6107615730750396	endpoint	0.47027529724702755	0.8026251641291202	100000	False
COG0036	0.5724038406520409	baseline	0.6065439345606544	0.8678632261296434	100000	False
COG0037	0.7102673767335984	endpoint	0.13442865571344287	0.5529396988087594	100000	False
COG0038	0.544257036336889	baseline	0.7776122238777612	0.9354522924860447	100000	False
COG0039	0.5010289306587038	baseline	0.994390056099439	0.9992800436637167	100000	False
COG0040	0.530512078571173	baseline	0.8396216037839621	0.9538793567646557	100000	False
COG0041	0.759948676218453	endpoint	0.05165948340516595	0.4353949145830093	100000	False
COG0042	0.5198423322811253	baseline	0.8943210567894321	0.9692385405514307	100000	False
COG0043	0.7216594003756013	baseline	0.14130858691413087	0.5627521045805709	100000	False
COG0044	0.5174171989936607	baseline	0.9122608773912261	0.9749115673670158	100000	False
COG0045	0.8146285905001462	baseline	0.01890981090189098	0.33516213224964525	100000	False
COG0046	0.5278586068457314	endpoint	0.8498815011849882	0.9583954312694098	100000	False
COG0047	0.621534812759026	baseline	0.43038569614303857	0.7822417433565982	100000	False
COG0048	0.6524167672792355	endpoint	0.3042169578304217	0.7055729088678612	100000	False
COG0049	0.8681178136543901	endpoint	0.004389956100438995	0.2670504366384907	100000	False
COG0050	0.5323051064438462	baseline	0.8320816791832082	0.952190676951141	100000	False
COG0051	0.5252446248739161	baseline	0.8667313326866731	0.9628903463117731	100000	False
COG0052	0.6475035000209721	baseline	0.34078659213407864	0.7303944612049982	100000	False
COG0053	0.6153446790057508	endpoint	0.43911560884391154	0.7861526345846485	100000	False
COG0054	0.6710425193638223	endpoint	0.26479735202647975	0.6749414864073715	100000	False
COG0055	0.5091626718966421	baseline	0.9539804601953981	0.9879911129751109	100000	False
COG0056	0.6849343597976408	endpoint	0.2049179508204918	0.6254113483932304	100000	False
COG0057	0.5388625550749337	baseline	0.7921820781792183	0.9398368278628283	100000	False
COG0058	0.8832362371952472	endpoint	0.002769972300276997	0.24671263596642387	100000	False
COG0059	0.5711347883230644	baseline	0.6170138298617014	0.872020956192695	100000	False
COG0060	0.748936316549459	endpoint	0.08494915050849491	0.49333067869457686	100000	False
COG0061	0.5685329932686378	baseline	0.6432935670643294	0.8830582016500543	100000	False
COG0062	0.57356464099231	endpoint	0.6187538124618753	0.8721784190632108	100000	False
COG0063	0.7460642026242631	baseline	0.07823921760782392	0.4821449325304141	100000	False
COG0064	0.5755281594015639	endpoint	0.6192838071619284	0.8725503422441168	100000	False
COG0065	0.7120361694424694	endpoint	0.15344846551534486	0.5750873399157853	100000	False
COG0066	0.6703763208640552	endpoint	0.2060979390206098	0.6261766116741684	100000	False
COG0067	0.5295907150180705	baseline	0.8513314866851331	0.958654850485108	100000	False
COG0068	0.5472524145697404	baseline	0.7538924610753892	0.9262906296366145	100000	False
COG0069	0.5669167220860996	baseline	0.6508434915650844	0.8869607591924081	100000	False
COG0070	0.5685770531800458	baseline	0.6518034819651803	0.8874334340342953	100000	False
COG0071	0.5509100581276009	endpoint	0.7145928540714593	0.9122815232648155	100000	False
COG0072	0.6400265245549954	endpoint	0.31958680413195867	0.7171694137359773	100000	False
COG0073	0.85940653691421	endpoint	0.007029929700702993	0.2740563156166191	100000	False
COG0074	0.6964523746196114	baseline	0.21517784822151778	0.635533949845173	100000	False
COG0075	0.6568991710579589	baseline	0.2889871101288987	0.6936749502290772	100000	False
COG0076	0.6923005897701419	baseline	0.22369776302236977	0.6411314146996507	100000	False
COG0077	0.6207353115909119	baseline	0.3882861171388286	0.7583330629745636	100000	False
COG0078	0.5931955758107205	endpoint	0.5191348086519135	0.8254261241221824	100000	False
COG0079	0.7241984581601618	endpoint	0.11888881111188888	0.5347328016025359	100000	False
COG0080	0.5586813496864378	endpoint	0.6934230657693423	0.9041193919046725	100000	False
COG0081	0.5512010774994278	endpoint	0.7454225457745423	0.9233339310890013	100000	False
COG0082	0.5637942371164087	baseline	0.6447435525644744	0.8836191416078116	100000	False
COG0083	0.6622957699450931	baseline	0.24088759112408875	0.6571169666266182	100000	False
COG0084	0.659966508570788	baseline	0.2877871221287787	0.6927470394600747	100000	False
COG0085	0.7785160035489919	endpoint	0.06043939560604394	0.44932959524571425	100000	False
COG0086	0.5502181633104105	baseline	0.7301026989730103	0.9189773579246399	100000	False
COG0087	0.659626386753192	baseline	0.2762972370276297	0.6864309857484856	100000	False
COG0088	0.6559822372119	endpoint	0.3199168008319917	0.7172201121229187	100000	False
COG0089	0.5025298429642973	baseline	0.9875201247987521	0.9980674233487893	100000	False
COG0090	0.6398985504207912	baseline	0.3322366776332237	0.7253237506037231	100000	False
COG0091	0.6634296847625029	baseline	0.28620713792862074	0.6922226937571917	100000	False
COG0092	0.6180294849368615	baseline	0.4268857311426886	0.7808511854756909	100000	False
COG0093	0.5042498928286079	baseline	0.976080239197608	0.9949015127212456	100000	False
COG0094	0.5650021602976832	baseline	0.6684833151668483	0.8930113161420342	100000	False
COG0095	0.6760016757726728	baseline	0.1991280087199128	0.621085400572473	100000	False
COG0096	0.5399594455877638	baseline	0.7914220857791422	0.9397202201394032	100000	False
COG0097	0.5558218678244125	endpoint	0.7169928300716992	0.9132999958417375	100000	False
COG0098	0.5309940472096069	baseline	0.8448315516844832	0.9565555630585268	100000	False
